Bauwerk Name;Bauwerkselement Name;Bauwerkselement Typ;Bauwerkselement Nummer;Bauwerkselement Niveau;X-Koordinate;Y-Koordinate;Bauwerksreferenzort Nummer;Bauwerkselement Exportnummer
Frankfurt (Oder), Lillihof;Bushalt Lillihof;Zugang und ÖV;2;0;14,479305;52,349172;360091;303415002
Frankfurt (Oder), Lillihof;Frankfurt (Oder), Lillihof;Bauwerk;3415;;14,478488;52,349092;360091;900360091
Frankfurt (Oder), Lossow B 112;Bushalt Lossow B 112;Zugang und ÖV;1;0;14,546395;52,284712;360092;303416001
Frankfurt (Oder), Lossow B 112;Bushalt Lossow B 112;Zugang und ÖV;2;0;14,546151;52,284658;360092;303416002
Frankfurt (Oder), Lossow B 112;Frankfurt (Oder), Lossow B 112;Bauwerk;3416;;14,546112;52,284711;360092;900360092
Frankfurt (Oder), Lossow Lindenstr.;Bushalt Lindenstraße;Zugang und ÖV;1;0;14,550752;52,286875;360093;303417001
Frankfurt (Oder), Lossow Lindenstr.;Frankfurt (Oder), Lossow Lindenstr.;Bauwerk;3417;;14,550445;52,286910;360093;900360093
Frankfurt (Oder), Magistrale;Frankfurt (Oder), Magistrale;Bauwerk;3437;;14,550778;52,345467;360123;900360123
Frankfurt (Oder), Magistrale;Tram- Bushalt Magistrale;ÖV;1;0;14,550865;52,346062;360123;303437001
Frankfurt (Oder), Magistrale;Tram- Bushalt Magistrale;ÖV;2;0;14,550821;52,346003;360123;303437002
Frankfurt (Oder), Magistrale;Zugang Karl-Marx-Straße;Zugang;3;0;14,550688;52,346262;360123;303437003
Frankfurt (Oder), Magistrale;Zugang Karl-Marx-Straße Ecke Kleine Oderstraße;Zugang;4;0;14,550912;52,346253;360123;303437004
Frankfurt (Oder), Malchow Förstereiweg;Bushalt Malchow Förstereiweg;Zugang und ÖV;1;0;14,514296;52,280945;360003;303484001
Frankfurt (Oder), Malchow Förstereiweg;Bushalt Malchow Förstereiweg;Zugang und ÖV;2;0;14,514071;52,280663;360003;303484002
Frankfurt (Oder), Malchow Förstereiweg;Frankfurt (Oder), Malchow Förstereiweg;Bauwerk;3484;;14,514217;52,280844;360003;900360003
Frankfurt (Oder), Markendorf Ort;Ampel-Ost Übergang über Müllroser Chausee;Zwischenpunkt;5;0;;;360213;300867005
Frankfurt (Oder), Markendorf Ort;Ampel-West Übergang über Müllroser Chausee;Zwischenpunkt;6;0;;;360213;300867006
Frankfurt (Oder), Markendorf Ort;Bushalt Ort;Zugang und ÖV;3;0;14,469269;52,292998;360213;300867003
Frankfurt (Oder), Markendorf Ort;Bushalt Ort;Zugang und ÖV;4;0;14,468603;52,293501;360213;300867004
Frankfurt (Oder), Markendorf Ort;Frankfurt (Oder), Markendorf Ort;Bauwerk;867;;14,468470;52,293391;360213;900360213
Frankfurt (Oder), Markendorf Ort;Tramsteig Ort;Zugang und ÖV;1;0;14,469313;52,293704;360213;300867001
Frankfurt (Oder), Markendorf Ort;Tramsteig Ort;Zugang und ÖV;2;0;14,469211;52,293747;360213;300867002
Frankfurt (Oder), Markendorf Siedlung;Bushalt Müllroser Chaussee hinter Bertha-von-Suttner-Straße;Zugang und ÖV;3;0;14,488805;52,311128;360096;301221003
Frankfurt (Oder), Markendorf Siedlung;Bushalt Müllroser Chaussee vor Bertha-von-Suttner-Straße;Zugang und ÖV;4;0;14,488995;52,311700;360096;301221004
Frankfurt (Oder), Markendorf Siedlung;Frankfurt (Oder), Markendorf Siedlung;Bauwerk;1221;;14,489534;52,312149;360096;900360096
Frankfurt (Oder), Markendorf Siedlung;Tramsteig Müllroser Chaussee hinter Tannenweg;Zugang und ÖV;1;0;14,489023;52,311218;360096;301221001
Frankfurt (Oder), Markendorf Siedlung;Tramsteig Müllroser Chaussee vor Tannenweg;Zugang und ÖV;2;0;14,488985;52,311235;360096;301221002
Frankfurt (Oder), Messegelände;Bushalt Messegelände;Zugang und ÖV;3;0;14,499810;52,347108;360097;300868003
Frankfurt (Oder), Messegelände;Frankfurt (Oder), Messegelände;Bauwerk;868;;14,499440;52,347104;360097;900360097
Frankfurt (Oder), Messegelände;Tram- Bushalt Messegelände;Zugang und ÖV;2;0;14,500375;52,346813;360097;300868002
Frankfurt (Oder), Messegelände;Tramsteig Messegelände;ÖV;1;1;14,498589;52,347309;360097;300868001
Frankfurt (Oder), Messegelände;Tramsteig Rampe zum Fußweg;Zwischenpunkt;6;1;14,498679;52,347286;360097;300868006
Frankfurt (Oder), Messegelände;Tramsteig Treppe zum Zugangsbereich Fürstenwalder Poststraße;Zwischenpunkt;5;1;14,498608;52,347332;360097;300868005
Frankfurt (Oder), Messegelände;Zugang Fürstenwalder Poststraße;Zugang;7;0;14,498640;52,347359;360097;300868007
Frankfurt (Oder), Messegelände;Zugangsbereich Fürstenwalder Poststraße Rampe zum Tramsteig;Zwischenpunkt;8;0;14,498745;52,347267;360097;300868008
Frankfurt (Oder), Messegelände;Zugangsbereich Fürstenwalder Poststraße Treppe zum Tramsteig;Zwischenpunkt;9;0;14,498625;52,347346;360097;300868009
Frankfurt (Oder), Messehalle;Bushalt Messehalle Richtung Norden;Zugang und ÖV;4;0;14,498642;52,343650;360018;313409004
Frankfurt (Oder), Messehalle;Bushalt Messehalle Richtung süden;Zugang und ÖV;3;0;14,498593;52,343638;360018;313409003
Frankfurt (Oder), Messehalle;Frankfurt (Oder), Messehalle;Bauwerk;13409;;14,498580;52,343683;360018;900360018
Frankfurt (Oder), Messering;Bushalt Messering;Zugang und ÖV;1;0;14,502916;52,339685;360098;303419001
Frankfurt (Oder), Messering;Bushalt Messering;Zugang und ÖV;2;0;14,502918;52,339723;360098;303419002
Frankfurt (Oder), Messering;Ersatzhalt Messering hinter Kreisverkehr;Zugang und ÖV;4;0;14,504112;52,340973;360098;303419004
Frankfurt (Oder), Messering;Ersatzhalt Messering vor Kreisverkehr;Zugang und ÖV;3;0;14,504064;52,341024;360098;303419003
Frankfurt (Oder), Messering;Frankfurt (Oder), Messering;Bauwerk;3419;;14,504126;52,341005;360098;900360098
Frankfurt (Oder), Meurerstr.;Bushalt Meurerstraße;Zugang und ÖV;1;0;14,484500;52,349389;360099;303420001
Frankfurt (Oder), Meurerstr.;Bushalt Meurerstraße;Zugang und ÖV;2;0;14,484504;52,349349;360099;303420002
Frankfurt (Oder), Meurerstr.;Frankfurt (Oder), Meurerstr.;Bauwerk;3420;;14,484577;52,349297;360099;900360099
Frankfurt (Oder), Mozartstr.;Bushalt Mozartstraße;Zugang und ÖV;1;0;14,492911;52,354243;360100;303421001
Frankfurt (Oder), Mozartstr.;Bushalt Mozartstraße;Zugang und ÖV;2;0;14,492914;52,354245;360100;303421002
Frankfurt (Oder), Mozartstr.;Frankfurt (Oder), Mozartstr.;Bauwerk;3421;;14,492914;52,354245;360100;900360100
Frankfurt (Oder), Mühlental;Bushalt Mühlental;Zugang und ÖV;1;0;14,541259;52,321181;360104;303475001
Frankfurt (Oder), Mühlental;Bushalt Mühlental;Zugang und ÖV;2;0;14,541235;52,321245;360104;303475002
Frankfurt (Oder), Mühlental;Frankfurt (Oder), Mühlental;Bauwerk;3475;;14,540094;52,321175;360104;900360104
